epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.920063,0.326667,1.671748,0.427646,0.001,19.8924
2,1.586962,0.455833,1.373949,0.546436,0.001,17.0873
3,1.359497,0.544167,1.326603,0.50108,0.001,2.647
4,1.2085,0.6225,1.398954,0.49892,0.001,2.5785
5,1.025884,0.695,1.205896,0.591793,0.001,2.675
6,0.956168,0.695,1.391392,0.516199,0.001,2.6753
7,0.859691,0.741667,1.672137,0.481641,0.001,2.7969
8,0.729738,0.795,1.172662,0.574514,0.001,2.8739
9,0.649225,0.815,1.248157,0.574514,0.001,2.6353
10,0.574774,0.84,1.551345,0.552916,0.001,2.6203
11,0.550544,0.84,1.370946,0.602592,0.0005,2.8448
12,0.503552,0.8625,1.172718,0.645788,0.0005,2.719
