epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.061462,0.232236,1.885083,0.3125,0.0007,157.2679
2,1.782806,0.334087,1.863131,0.328431,0.0007,105.5041
3,1.64986,0.377878,1.686491,0.395833,0.0007,105.5796
4,1.551623,0.414183,1.57475,0.442402,0.0007,105.1955
5,1.468502,0.44964,1.535153,0.460784,0.0007,100.7081
6,1.409665,0.477751,1.464954,0.459559,0.0007,103.3942
7,1.362727,0.504591,1.394041,0.497549,0.0007,101.1954
8,1.284285,0.53468,1.374317,0.523284,0.0007,102.4929
9,1.252407,0.545557,1.422388,0.492647,0.0007,100.3465
10,1.185491,0.571408,1.144869,0.628676,0.0007,102.1797
11,1.160199,0.578189,1.256627,0.57598,0.0007,100.6618
12,1.12443,0.596129,1.148197,0.639706,0.0007,101.9612
13,1.077457,0.617743,1.288469,0.577206,0.00035,100.233
14,1.005704,0.645995,1.188412,0.599265,0.00035,100.5456
15,0.97851,0.65433,1.196091,0.602941,0.00035,101.0434
16,0.944805,0.670857,1.19339,0.637255,0.000175,99.3169
