epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.001793,0.250177,1.918965,0.322304,0.001,106.5538
2,1.692868,0.357395,1.720363,0.389706,0.001,103.9747
3,1.520815,0.438621,1.555065,0.468137,0.001,106.962
4,1.406194,0.479729,1.541653,0.48652,0.001,103.1123
5,1.31489,0.519424,1.283853,0.542892,0.001,104.3202
6,1.235812,0.550784,1.298599,0.57598,0.001,104.4477
7,1.161442,0.574657,1.265608,0.566176,0.001,104.5369
8,1.120737,0.594152,1.274003,0.591912,0.001,102.0638
9,1.059815,0.616189,1.179049,0.579657,0.001,98.8227
10,1.038956,0.632858,1.161571,0.637255,0.001,99.6661
11,0.997625,0.651222,1.159757,0.618873,0.001,121.541
12,0.959323,0.655742,1.08352,0.623775,0.001,102.9308
13,0.938294,0.674107,1.060859,0.675245,0.001,102.4871
14,0.898617,0.683995,1.068109,0.713235,0.001,101.0137
15,0.875136,0.68908,1.076223,0.643382,0.001,103.1396
16,0.844222,0.698686,0.997925,0.710784,0.001,102.16
17,0.819843,0.709563,1.032415,0.675245,0.001,100.8077
18,0.810179,0.709705,1.028228,0.655637,0.001,97.7682
19,0.771101,0.731883,1.048255,0.699755,0.0005,97.8603
20,0.716828,0.754344,1.014242,0.710784,0.0005,97.1346
21,0.693747,0.765927,0.963014,0.713235,0.0005,98.3105
22,0.702622,0.756463,0.978861,0.742647,0.0005,98.5589
23,0.68259,0.76395,1.040815,0.702206,0.0005,98.4683
24,0.667366,0.770024,0.95825,0.747549,0.0005,97.8317
25,0.659617,0.773697,1.006857,0.72549,0.0005,98.1922
